ID,name,description,isSaveBag,imageUrl
CUE_0045_review_undergrund,中共地下组织密电介绍,为了避开敌占区的审查以及敌人特务组织的追踪，地下组织会积极使用各类暗号来隐藏信息，或使用隐晦的暗喻、谐音等替代原本的含义。例如1948年，南平城刘书记被捕叛变，并供出同志，南平地下党因此向南方局发去了预警电报，内容如下：“我这次回娘家，不幸得知柳表妹行为不正，染上了花柳病，已经住了医院。”此电报用柳和刘的谐音代表刘，用花柳病代表行为不端，暗示刘已背叛，收到信息的同志立刻切断了和叛徒的联系，成功转移到安全地带。\n——《中共地下组织密电选编》，1996,1,
CUE_0050_reason_telegraph,香山大学藏间内电报机的由来,1930年，中国国内使用的主流电报机并非克利特快机，可能是骐骥电报机制造厂未能继续生产克利特快机的原因之一，电报机制造厂倒闭后，香山大学将两台克利特快机购入。,1,
CUE_0060_telegram_1,奇怪的电报,最近眼睛越发不好了，本来以为是城里的杨花导致的，但是现在杨花已经没有了，却依旧看不清东西，很危险。,1,
CUE_0065_telegraph,电报机,一台克利特快机，上有骐骥电报机制造厂的标志，并标注生产年份为1930年。,1,
CUE_0070_telegram_boy,纪云书请求支援的电报,方悦失踪案或有突破，但跟踪期间对方进入香山大学图书馆地下管理室，并将我困在了木柜后的密室内，现请求支援。\n纪云书,1,
CUE_0080__message,<color=#894332>【方悦失踪案】</color>,根据纪云书的电报记载，他正在调查一起失踪案件。,1,
CUE_0081__message,地下图书管理室,电报中记载的地下图书管理室，但我记得管理室应该在图书馆的入口处,1,
CUE_0082__message,巡察员,巡察员？听起来和学校的纪律检查老师有关系。,1,
CUE_0085_reason,地下图书管理室木柜后的<color=#894332>密室</color>,根据纪云书的电报记载，他被困在了地下图书馆管理室木柜后的密室中，但香山大学图书馆的管理室早已不在地下，如今是被当做藏间使用。而且也从未有人提起，有一个密室位于其中。,1,
CUE_0090_cabinet,不知为何无法挪动的柜子,电报机的电线能接入柜子后面，地上有拖痕，但不知为什么，柜子无法挪动。,1,
CUE_0095_key,偏大的老旧钥匙,孔晨先生担任图书管理员时所用钥匙，于1992年捐赠予香山大学。钥匙很大，和此处的柜子、门扉无法匹配。,1,
CUE_0100_holder,钉有五颗钉子的粤绣相框首饰架,粤绣相框首饰架，孔晨先生1931年作品，用作收纳首饰钥匙等物。曾有磨损，后进行过修复。相框固定在台面上，无法移动，钉子钉在了女人的头部、耳朵、脖颈、手腕和手指位置，看位置最多只能放下五样首饰。,1,
CUE_0110_jewelry,大量民国年间的女性饰品,民国年间女性所用首饰，包含耳饰、颈饰、腕饰、发夹及戒指，原为孔晨先生所有，1992年，孔晨先生长子根据其遗愿捐赠予香山大学。,1,
CUE_0120_review,<color=#894332>【机关锁】</color>，与机关链接、需要解开机关才可解锁的锁具,机关锁，通过机关链接对门扉进行控制，多种机关组合后，可以根据顺序、位置等产生更复杂的上锁及开锁方式。\n——记载于《中国古锁研究》，1927,1,
CUE_0121_review,<color=#894332>【双重锁】</color>，主锁被副锁隐藏保护的锁具,双重锁，在主锁上再增加副锁，解开副锁后才能使主锁显现，增加防护性。例如清代某大院正门门扉，副锁小巧，钥匙非常规样式，十分巧妙。\n——记载于《中国古锁研究》，1927,1,
CUE_0122_review,<color=#894332>【藏诗锁】</color>，以诗句为密码的锁具,藏诗锁，即以诗句为密码的古代锁具，通常为横式圆柱体，锁上有铜箍，上刻汉字，通常为三到七拨轮，使其组成正确的诗句，锁才得以开启。\n——记载于《中国古锁研究》，1927,1,
CUE_0130_poetry,<color=#894332>【藏诗锁】</color>的研究，旁边还批注着一首疑似苦情诗的诗句<color=#894332>诗</color>,藏诗锁，即以诗句为密码的古代锁具，通常为横式圆柱体，锁上有铜箍，上刻汉字，通常为三到七拨轮，使其组成正确的诗句，锁才得以开启。\n批注：春娇百媚却阑珊，伊人无情肝肠断。杨花难阻青云志，拨尽浮云览众山。\n——记载于《中国古锁研究》，1927,1,
CUE_0135_kongchen,孔晨自述传记,我的上峰总是夸奖我，说我天生就有做地下党的头脑，我思来想去，或许这与我年少时的经历颇有些关系。\n因着家道中落，我被迫早早成为了家中的顶梁柱，什么话该说，什么话该藏，都要考量，许多事情我亦是见怪不怪的。\n后来当我得知最亲密无间的同志“狼毫”叛变、甚至残忍杀害了女同志“柳絮”时，我拼尽全力逼迫着、告诫着自己，不可慌乱，还有更重要的事需要我做。\n——记录于《地下星芒的光辉——家父孔晨自述》，1989,1,
CUE_0140_puzzle,首饰展示柜整体是一个<color=#894332>机关锁</color>,如果柜子后面真的有密室、入口也在此处的话，柜子恐怕就是一个巨大的机关锁。,1,
CUE_0150_reason_miss,解开机关锁需要知道<color=#894332>正确的首饰、位置和顺序</color>,粤绣首饰架应该就是解开机关锁的关键，将正确的首饰按照特定的顺序摆放到首饰架正确的位置上，或许就可以打开机关锁。,1,
CUE_0155telegram_girl,李言蹊的回复电报·一,您好，您是被困在了香山大学图书馆地下原本的图书管理室内对吗？\n我就在外面，我找到了一把钥匙，但木柜无法移开，我想柜子可能是一个机关锁，上面有一个固定的粤绣相框和大量民国年间的女性首饰，通过使用正确的首饰摆放到正确的位置或许能打开机关，不知道您是否看到过嫌疑人是怎么摆放的？如果能知道顺序就更好了。\n我会在外面也先用首饰进行尝试。\n香山大学学生李言蹊,1,
CUE_0160,不知何用的扁平物,纪云书在晕倒前抓到的唯一一件不属于他的物品，物品扁平小巧，但不知有何用处。,1,
CUE_0170,粤绣相框中戴着首饰的女人和年月日期,柜子上放有五个粤绣相框，各绣有一个女人，女人各戴一个首饰，一旁注有日期——\n别着英文字母<color=#894332>HELLO发夹</color>的朴素女人，标有1930.10；\n戴着<color=#894332>百岁锁</color>的女学生，标有1930.11；\n戴着<color=#894332>钻石耳坠</color>的女学生，标有1931.1；\n戴着<color=#894332>绿松石戒指</color>的女教员，标有1931.2；\n戴着<color=#894332>手表</color>的青年女人，标有1931.4。,1,
CUE_0175_review,相框中的<color=#894332>首饰</color>和<color=#894332>年份</color>对应了开锁需要的首饰、位置和顺序,这些女人戴着的首饰对应了五个不同的位置，年月日期或许就和顺序有关。,1,
CUE_0180,无法转动的藏诗锁,转动拨轮组成正确的诗句，应该就可以打开藏诗锁，但不知为何，这个藏诗锁的拨轮无法转动。,1,
CUE_0190_review,密室铁门门缝或能传递扁平物件,密室的铁门十分坚固无法打开，但下方却有一条窄缝，应该能将纸张或扁平物体传出，只可惜外有柜子阻挡。,1,
CUE_0195,纪云书的回复电报·一,密室内亦有粤绣，绣有女人和首饰，并有日期，对应关系如下：\n朴素女人，<color=#894332>HELLO发夹</color>，1930.10；\n女学生，<color=#894332>百岁锁</color>，1930.11；\n女学生，<color=#894332>钻石耳坠</color>，1931.1；\n女教员，<color=#894332>绿松石戒指</color>，1931.2；\n青年女人，<color=#894332>手表</color>，1931.4。\n纪云书,1,
CUE_0200,密室铁门上能插入东西的小孔,铁门上有个细长的的孔，似乎能插进去一个小的扁平物。,1,
CUE_0205,密室铁门上被挡住的大锁孔,铁门上的锁孔和之前找到的钥匙大小是匹配的，但好像被什么东西挡住了，钥匙无法插入。,,
CUE_0210,密室铁门的双重锁缺少另一个钥匙,柜子后的铁门上有一个双重锁，细长的孔是一个小锁孔，需要插入另一把扁平的小钥匙打开第一重锁，开门的钥匙才能插入大锁孔中。,1,
CUE_0215_telegraph_girl2,李言蹊的回复电报·二,您好，根据您提供的信息，我已经成功打开了机关锁，柜子挪开了。\n但后面的铁门上应该有一道双重锁，开门的锁孔被挡住了，我缺少一把较小的异形钥匙，只有打开第一重锁，开门的钥匙才能插入。\n我会继续寻找，如果您还知道什么信息可以告诉我那就更好了。\n李言蹊,,
CUE_0220,或能通过密室铁门门缝传递的扁平钥匙,纪云书倒下前拿到过一个小巧的扁平物，那个很可能就是李言蹊需要的扁平钥匙，而因其形状特别，或许能通过门缝传递出去。,1,
CUE_0225,纪云书的回复电报·二,被击晕前攥住个扁平物，恐为钥匙。\n已通过门缝传递。\n纪云书,,
CUE_0230_bone,密室中的白骨,这具白骨生前身上穿着的衣服因为腐烂都成了碎片，落在地上，发霉严重，已分辨不出原本的颜色和款式。,1,
CUE_0231_picture,老旧的家具和粤绣相框,老旧的家具，上面是厚厚的灰尘，这些粤绣相框也旧得不行，里头甚至已经发霉、破损，看不太清晰……,1,
CUE_0232_note,尸体旁的巡察员证件、笔记本与电报纸,白骨旁边有一个笔记本和一个证件，因为有外壳保护，里头的纸张似乎损坏得还没有那么严重，能看清楚其中写有一些线索，还有两张电报纸，上面的内容有些熟悉，谈及首饰、粤绣相框、机关锁柜等词；而证件上显示，此人是巡察员，名字为纪x书。,1,
CUE_0233_oldtelegraph,老旧的电报机,一台老旧的克利特开机，但因无人维护，有的部位已经生锈，无法看清生产年份，但上面也有骐骥电报机制造厂的标志。,1,
CUE_0240_misslock,缺少零件的藏诗锁,藏诗锁因老旧，锁盖脱落，可以看到其中有一部分空缺，如果有东西可以插入，似乎能将其中档片拨开。,1,
CUE_0250_wall,墙柜机关的打开方式,坍塌墙体中的柜子，外有机关，抽出右侧的第三块砖头、打开机关后柜子才可显露。,1,
CUE_0260_oldnotebook,斑驳的苦情日记,损坏严重的日记本，内页满是霉斑，以致于很难看清其原本的内容。但可分辨出“春娇”一词频繁出现，日记似乎表达了日记主人的爱而不得。,1,
CUE_0270_oldkey,锈死的小巧异物,一个小巧的细长金属物，但因和柜子锈死在一起，无法拿出。,1,
CUE_0280_reason_poem,藏诗锁密码和藏诗锁的批注诗句有关,藏诗锁的批注诗句中，第一句可以与日记中频繁出现的“春娇”一词对应，同时日记中展现的苦情故事也和批注诗句统一，因此藏诗锁的密码可能和那首关于藏诗锁的批注诗句有关，如果能看清完整的日记，或许可以得到正确的密码。,1,
CUE_0281_reason_bone,白骨的身份,那具白骨应该就是纪云书，他是民国年间的巡察员，因为被困在这个密室内无人管顾，死在了这里。,1,
CUE_0282_reason_cross,跨越时空的电报机,纪云书用房间中老旧的电报机发送电报，却不知为何发送给了李言蹊，两人的通讯可能跨越了近百年。,1,
CUE_0283_reason_story,失踪悬案与校园传说,纪云书前来调查的方悦失踪案发生在近百年前，或许和现在流传的校园传说有关，而纪云书的死亡可能是导致校园传说未有结论、失踪案成为了悬案的原因之一。,1,
CUE_0300_reason_losekey,藏诗锁缺少的零件,藏诗锁无法转动是因为缺少了个物件，而那个东西很可能就藏在墙柜里柜子的第二层。,1,
CUE_0305_message_001,李言蹊的回复电报·三,您好，不知道是不是密室的门出了故障，我没能打开它。不过我在外头发现了一个藏诗锁和密室的设计图。\n密室最外侧右边第三列正中间那块砖头是可以取出来的，那里也藏着一个机关，后面有一个墙柜，墙柜共两层，第一层是用来放置日记本的，第二层则用来放置一些细小的零件。\n日记本和零件可能都是解开藏诗锁的重要道具——藏诗锁上缺少了一个零件，需要插入零件后才可以转动。而藏诗锁的密码我在那本关于中国古锁的书籍上看到过批注，诗句如下：\n春娇百媚却阑珊，伊人无情肝肠断。杨花难阻青云志，拨尽浮云览众山。\n我想诗句可能和作诗人的生活密切相关，所以日记或许能够派上用场？\n希望您能早日离开，并破获案件。\n李言蹊,1,
CUE_0310_notebook,孔晨日记,7月19日\n不知祖父怎么想的，竟会让堂妹来投奔我，还要给她寻找住处、安排工作，我两方奔走，哪有那么多时间应付呢？\n思来想去，只觉烦躁。\n7月28日\n实在寻不到什么合适的地方，收拾了一间屋子给堂妹，这样祖母也不会担忧了。\n许多年未见堂妹，或者已经女大十八变，长成美人了呢。\n\n7月31日\n约莫是在乡野待得久了，也未读过书，堂妹实在有些难以沟通，不过她似乎有些胆怯，不怎么打扰我，这对于我的工作而言也算是好事。\n且刚才我路过她房间，无意间瞥见，她身材竟然还不错，真是人不可貌相，实在赏心悦目。\n\n8月2日\n才来两天，就把我的粤绣弄坏了，我让她赔偿，又拿不出钱来，我只好让她用些别的方法补偿，竟还有些不情不愿。\n\n8月10日\n稍微用了些关系，让堂妹在学校里做清洁工作，现在我再想碰她，她总算连不情愿也不敢有了。\n\n9月12日\n堂妹不知道怎么竟然认识了个女学生，那女人好像还挺聪明，我说的很多东西她都知道，竟还能谈论一二，也不知道这两个人是怎么聊到一起去的。\n\n9月27日\n最近孔春娇胆子真是越来越大了，竟开始躲着我，我怀疑和那个朱闻珊有些关系，也不知道她们到底都在一起做什么。\n\n10月10日\n孔春娇真是忘恩负义，朱闻珊不过送了她一个劣质发卡，她就听信谗言，每日说什么“新思潮”、“尊重”，但却完全没有将她堂哥我放在眼里。\n\n10月23日\n我不明白，我本来什么都没做，为什么堂妹莫名开始拒绝我，甚至和我争吵，又搬出那些她自己根本不懂的言论。\n这下好了，我想做的都做了，味道虽然一般，但我会记得她的，我已经想到我的新作品要绣什么了。\n\n11月3日\n这个朱闻珊真是不识好歹，她有什么脸面过来质问我？不就是她害死了孔春娇吗？还说要去报警，她以为警察会信她？\n不过我想了想，还是不能太张扬，如果纪云书发现了些什么，可就不太好了。\n最后我让朱闻珊去陪孔春娇了，脱她衣服的时候她竟还先护着她的破锁，那就是个不值钱的老物什而已，就和她人一样，看上去精致些，实际上还比不过孔春娇。\n\n12月3日\n一个月了，好像也没有人发现什么，倒是没了孔春娇，好像是有些无聊了。\n\n1931年\n1月11日\n我之前就注意到，有个女学生穿得很招摇，今天我又看到她了，借了几本书，却是一副伤神的模样，呆愣着翻页，文字仿佛只是从她的眼中流过，根本未留下什么。\n\n1月13日\n那个女孩连续这样了三天，我实在于心不忍，去问了问她，结果她反而哭了起来，叫人烦躁，不过我坐在旁边，看到了她戴的那些首饰，似是价格不菲，这样的人能有什么烦恼呢？\n当真是朱门酒肉臭，路有冻死骨。\n\n1月16日\n或许之前我确实妄下断言了，方悦失去了最疼爱她的祖父，叔伯和姑姑们又要和她父亲争抢财产，本来她在准备留洋，这下恐怕也不一定能去了。\n看来各人有各人的难处。\n尤其她也没什么千金小姐的架子，因为我一直在安慰她，她还将我当做了朋友。\n\n2月10日\n我这么喜爱她，一直陪着她，带她去看电影听戏，她竟然不愿意成为我的女朋友，还说什么年龄相差太大，到最后竟要以财物或者首饰做感谢和补偿，我是那样爱钱胜过爱她的人吗？\n香山大学的学生竟也这样肤浅，或许她根本不配得到我的爱。\n\n2月15日\n生活在象牙塔里的女人就是这样单纯，我不过说要见最后一面，她就过来了。\n现在我得到她了，不得不说，被养得如此姣好美丽，皮肤水润白皙，确实是上品，现在她去见朱闻珊和孔春娇了，那些我应得的首饰我也拿到了，我会挑选其一，绣成我的下一幅作品。\n\n2月28日\n才十几天，警察已经来过很多次了，不过他们好像没有怀疑我。\n\n3月23日\n最近总有个女教员寻来，贼眉鼠眼的，也不知道是在找什么。\n\n3月25日\n我根本就不认识这个叫许青的女人，为什么她会觉得我和方悦有关系？！\n我不能让她再查下去了。\n\n3月28日\n都说上了年岁的女人更有风韵，但若是晕在那里，还是差太多了。且她分明都到了这个年纪，戴的东西竟都这样不值一提，最大的宝石戒指，和方悦随便一样东西比，都差了很多。\n不过既然她不是什么重要的人，应该不会引起什么风波吧？\n\n3月29日\n刘安很奇怪，好像要在管理室里找什么似的，看我的眼神也和往日不同。\n我可是她的上峰，她怎么敢的？！\n\n4月19日\n完了完了，刘安好像真的发现了什么。孔晨啊孔晨，你怎会如此不小心？若是杀了几个人被捅出去，党国还能保，若是身份暴露了，我可就当真惨了。\n不行，我不能放任刘安这样下去，我得处理她……\n\n4月23日\n他们的人看来也就这样，早知道她根本没有发现我的身份，我都没必要处理她。\n不过死了也好。\n只是这得是最后一个了，我不能让纪云书也起疑。,1,
CUE_0320_truth,女性失踪案全貌,孔晨先后杀害了五名女性，分别为孔春娇、朱闻珊、方悦、许青和刘安。\n孔春娇是孔晨堂妹，1930年来到楚庭市投奔孔晨，并在孔晨的介绍下于香山大学进行清洁工作，其间孔晨曾以孔春娇破坏了粤绣和为其介绍工作等，需要赔偿或报恩为由对孔春娇实施猥亵。后孔春娇结识女大学生朱闻珊，与其成为好友，接受了许多新思想和理念，还曾获得对方赠予的英文发夹，爱不释手。1930年10月，孔春娇萌生拒绝孔晨猥亵的念头，并与孔晨争吵，后被孔晨侵犯并遭杀害。\n学生朱闻珊，偶然结识孔春娇后，与其结为好友，后朱闻珊曾试图向孔春娇传递新思想，还曾赠予其一个英文发卡。孔春娇莫名失踪后，朱闻珊应是对孔晨产生了怀疑，1930年11月，朱闻珊前来质问孔晨，被孔晨侵犯并杀害。\n香山大学学生方悦，家境优渥，长相漂亮，本正在预备留洋，1931年1月，方悦由于祖父病亡，被卷入了财产纷争，心情欠佳，其在图书馆被孔晨搭话，后受到孔晨安慰，二人就此结识并成为好友，2月孔晨提出关系进一步发展，方悦以二人年龄相差太大为由拒绝，提出以财物饰品做感谢，孔晨气急败坏，将方悦骗至图书管理室，故技重施将其击晕后侵犯并杀害，同时将她身上的饰品钱财一并夺去。\n1931年2月，方悦失踪后，警察查案进展缓慢，一月未果。教员许青私下进行调查，发现了图书馆的异样。在调查中，孔晨认为自己被许青看穿，故技重施，将其侵犯并杀害。\n最后有一名叫刘安的女人，发现了管理室中的异样，在某次二人见面后，孔晨狠心将其杀害。\n而孔晨每杀害一人后，都会将其私人物品据为己有并作为战利品，还会绣下粤绣刺绣进行留念。,1,
CUE_0330_realkey,藏诗锁真正的密码,诗作的第一句对应了孔春娇和她的好友朱闻珊，第二句对应了方悦，第三句对应了教员许青和刘安，最后一句是孔晨对杀害五人一事引以为傲的感言，因此藏诗锁的诗句很有可能是最后一句。,1,
CUE_0340_key,崭新的藏诗锁零件,从墙柜二层拿出的小巧细长的崭新金属物，应该就是藏诗锁缺少的零件。,1,
CUE_0345_message_002,纪云书的回复电报·三,柜内有枪，得以脱困，感谢。\n另：图书管理员孔晨谋害五名女性在逃，小心。\n纪云书,,
CUE_0360_lockbox,依旧上锁的藏诗锁,纪云书分明已经脱困，但不知为何，藏诗锁竟然又被锁上了。,1,
CUE_0370,孔晨仍未受到惩处,校园传说依旧存在，百年前的疑案也仍然不为人知，孔晨还是那个看似伟大而光明的中共地下党员，这一切都说明，他没有受到应有的惩罚。,1,
CUE_0380,白骨头骨上的枪伤痕迹,被转移到柜内的纪云书白骨上，头骨处有疑似枪伤的痕迹。,1,
CUE_0390,关于纪云书,纪云书离开后不知为何没能抓到孔晨，并被孔晨再次带入了密室，孔晨用纪云书拿到的那把枪将其击杀，而纪云书的尸体则被藏在了柜子，所以锁才会再次被锁上。,1,
